__time,/hamster2/imu/angular_velocity/x,/hamster2/imu/angular_velocity/y,/hamster2/imu/angular_velocity/z,/hamster2/imu/angular_velocity_covariance[0;0],/hamster2/imu/angular_velocity_covariance[0;1],/hamster2/imu/angular_velocity_covariance[0;2],/hamster2/imu/angular_velocity_covariance[1;1],/hamster2/imu/angular_velocity_covariance[1;2],/hamster2/imu/angular_velocity_covariance[2;2],/hamster2/imu/header/stamp,/hamster2/imu/linear_acceleration/x,/hamster2/imu/linear_acceleration/y,/hamster2/imu/linear_acceleration/z,/hamster2/imu/linear_acceleration_covariance[0;0],/hamster2/imu/linear_acceleration_covariance[0;1],/hamster2/imu/linear_acceleration_covariance[0;2],/hamster2/imu/linear_acceleration_covariance[1;1],/hamster2/imu/linear_acceleration_covariance[1;2],/hamster2/imu/linear_acceleration_covariance[2;2],/hamster2/imu/orientation/w,/hamster2/imu/orientation/x,/hamster2/imu/orientation/y,/hamster2/imu/orientation/z,/hamster2/imu/orientation_covariance[0;0],/hamster2/imu/orientation_covariance[0;1],/hamster2/imu/orientation_covariance[0;2],/hamster2/imu/orientation_covariance[1;1],/hamster2/imu/orientation_covariance[1;2],/hamster2/imu/orientation_covariance[2;2],/hamster2/velocity/data,/hamster2/voltage/data,/tf/world/hamster2/base_link/header/stamp,/tf/world/hamster2/base_link/rotation/w,/tf/world/hamster2/base_link/rotation/x,/tf/world/hamster2/base_link/rotation/y,/tf/world/hamster2/base_link/rotation/z,/tf/world/hamster2/base_link/translation/x,/tf/world/hamster2/base_link/translation/y,/tf/world/hamster2/base_link/translation/z,/tf_static/hamster2/base_link/hamster2/camera_link/header/stamp,/tf_static/hamster2/base_link/hamster2/camera_link/rotation/w,/tf_static/hamster2/base_link/hamster2/camera_link/rotation/x,/tf_static/hamster2/base_link/hamster2/camera_link/rotation/y,/tf_static/hamster2/base_link/hamster2/camera_link/rotation/z,/tf_static/hamster2/base_link/hamster2/camera_link/translation/x,/tf_static/hamster2/base_link/hamster2/camera_link/translation/y,/tf_static/hamster2/base_link/hamster2/camera_link/translation/z,/tf_static/hamster2/camera_accel_frame/hamster2/camera_accel_optical_frame/header/stamp,/tf_static/hamster2/camera_accel_frame/hamster2/camera_accel_optical_frame/rotation/w,/tf_static/hamster2/camera_accel_frame/hamster2/camera_accel_optical_frame/rotation/x,/tf_static/hamster2/camera_accel_frame/hamster2/camera_accel_optical_frame/rotation/y,/tf_static/hamster2/camera_accel_frame/hamster2/camera_accel_optical_frame/rotation/z,/tf_static/hamster2/camera_accel_frame/hamster2/camera_accel_optical_frame/translation/x,/tf_static/hamster2/camera_accel_frame/hamster2/camera_accel_optical_frame/translation/y,/tf_static/hamster2/camera_accel_frame/hamster2/camera_accel_optical_frame/translation/z,/tf_static/hamster2/camera_gyro_frame/hamster2/camera_gyro_optical_frame/header/stamp,/tf_static/hamster2/camera_gyro_frame/hamster2/camera_gyro_optical_frame/rotation/w,/tf_static/hamster2/camera_gyro_frame/hamster2/camera_gyro_optical_frame/rotation/x,/tf_static/hamster2/camera_gyro_frame/hamster2/camera_gyro_optical_frame/rotation/y,/tf_static/hamster2/camera_gyro_frame/hamster2/camera_gyro_optical_frame/rotation/z,/tf_static/hamster2/camera_gyro_frame/hamster2/camera_gyro_optical_frame/translation/x,/tf_static/hamster2/camera_gyro_frame/hamster2/camera_gyro_optical_frame/translation/y,/tf_static/hamster2/camera_gyro_frame/hamster2/camera_gyro_optical_frame/translation/z,/tf_static/hamster2/camera_link/hamster2/camera_accel_frame/header/stamp,/tf_static/hamster2/camera_link/hamster2/camera_accel_frame/rotation/w,/tf_static/hamster2/camera_link/hamster2/camera_accel_frame/rotation/x,/tf_static/hamster2/camera_link/hamster2/camera_accel_frame/rotation/y,/tf_static/hamster2/camera_link/hamster2/camera_accel_frame/rotation/z,/tf_static/hamster2/camera_link/hamster2/camera_accel_frame/translation/x,/tf_static/hamster2/camera_link/hamster2/camera_accel_frame/translation/y,/tf_static/hamster2/camera_link/hamster2/camera_accel_frame/translation/z,/tf_static/hamster2/camera_link/hamster2/camera_gyro_frame/header/stamp,/tf_static/hamster2/camera_link/hamster2/camera_gyro_frame/rotation/w,/tf_static/hamster2/camera_link/hamster2/camera_gyro_frame/rotation/x,/tf_static/hamster2/camera_link/hamster2/camera_gyro_frame/rotation/y,/tf_static/hamster2/camera_link/hamster2/camera_gyro_frame/rotation/z,/tf_static/hamster2/camera_link/hamster2/camera_gyro_frame/translation/x,/tf_static/hamster2/camera_link/hamster2/camera_gyro_frame/translation/y,/tf_static/hamster2/camera_link/hamster2/camera_gyro_frame/translation/z,/tf_static/hamster2/map/hamster2/odom/header/stamp,/tf_static/hamster2/map/hamster2/odom/rotation/w,/tf_static/hamster2/map/hamster2/odom/rotation/x,/tf_static/hamster2/map/hamster2/odom/rotation/y,/tf_static/hamster2/map/hamster2/odom/rotation/z,/tf_static/hamster2/map/hamster2/odom/translation/x,/tf_static/hamster2/map/hamster2/odom/translation/y,/tf_static/hamster2/map/hamster2/odom/translation/z,/tf_static/world/hamster2/map/header/stamp,/tf_static/world/hamster2/map/rotation/w,/tf_static/world/hamster2/map/rotation/x,/tf_static/world/hamster2/map/rotation/y,/tf_static/world/hamster2/map/rotation/z,/tf_static/world/hamster2/map/translation/x,/tf_static/world/hamster2/map/translation/y,/tf_static/world/hamster2/map/translation/z
1682357881.715509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682356749.584424,-0.999256,0.005043,0.000976,0.038217,2.668912,-3.346767,0.137522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.715906,0.000000,0.000000,0.001745,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1677685709.437541,0.058840,-9.698776,0.519752,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.716655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682356749.597524,-0.999256,0.005023,0.000957,0.038228,2.668927,-3.346781,0.137543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.717034,-0.001745,0.000000,0.000000,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1677685709.442539,0.058840,-9.698776,0.519752,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.717737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682356749.599398,-0.999257,0.004925,0.000978,0.038208,2.668931,-3.346791,0.137557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.717941,-0.003491,0.001745,0.000000,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1677685709.447536,0.058840,-9.708583,0.519752,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.718358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682356749.604315,-0.999255,0.005029,0.000927,0.038248,2.668944,-3.346789,0.137548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.718857,-0.003491,0.003491,-0.001745,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1677685709.452535,0.058840,-9.708583,0.519752,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.720606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.720809,-0.001745,0.001745,0.000000,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1677685709.457532,0.068647,-9.718390,0.519752,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.721007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1682356749.612233,-0.999257,0.004983,0.000956,0.038214,2.668938,-3.346780,0.137527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.721209,-0.001745,0.000000,0.000000,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1677685709.462530,0.068647,-9.718390,0.519752,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.721443,0.000000,0.000000,0.000000,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1677685709.467528,0.068647,-9.718390,0.519752,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682357881.721702,0.000000,0.003491,0.000000,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,1677685709.472526,0.068647,-9.718390,0.519752,0.010000,0.000000,0.000000,0.010000,0.000000,0.010000,0.000000,0.000000,0.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
