__time,/hamster2/imu/header.stamp,/hamster2/command/drive.steering_angle,/hamster2/command/drive.speed,/hamster2/imu/angular_velocity.x,/hamster2/imu/angular_velocity.y,/hamster2/imu/angular_velocity.z,/hamster2/imu/linear_acceleration.x,/hamster2/imu/linear_acceleration.y,/hamster2/imu/linear_acceleration.z
1677685709.4603508,1677685709.3597972,9.972792625,1.017680407,,,,,,
1677685709.460896,1677685709.378926,9.972881317,1.017680407,,,,,,
1677685709.4612772,1677685709.398925,9.975045204,1.017680407,,,,,,
1677685709.461652,1677685709.4199455,9.974722862,1.017680407,,,,,,
1677685709.4604588,1677685709.4325433,,,-0.006981317,0.001745329,0,0.058839899,-9.698776245,0.519752443
1677685709.460994,1677685709.4375405,,,0,0,0.001745329,0.058839899,-9.698776245,0.519752443
1677685709.4621024,1677685709.4391587,9.974722862,1.017680407,,,,,,
1677685709.4613712,1677685709.442539,,,-0.001745329,0,0,0.058839899,-9.698776245,0.519752443
1677685709.461769,1677685709.4475365,,,-0.003490658,0.001745329,0,0.058839899,-9.708582878,0.519752443
1677685709.4621828,1677685709.4525347,,,-0.003490658,0.003490658,-0.001745329,0.058839899,-9.708582878,0.519752443
1677685709.4657438,1677685709.457532,,,-0.001745329,0.001745329,0,0.06864655,-9.718389511,0.519752443
1677685709.4647133,1677685709.4617815,9.973121643,1.017680407,,,,,,
1677685709.4699326,1677685709.4625304,,,-0.001745329,0,0,0.06864655,-9.718389511,0.519752443
1677685709.4733346,1677685709.4675276,,,0,0,0,0.06864655,-9.718389511,0.519752443
1677685709.4746218,1677685709.4725258,,,0,0.003490658,0,0.06864655,-9.718389511,0.519752443
1677685709.480367,1677685709.477523,,,-0.003490658,0.005235988,-0.001745329,0.06864655,-9.708582878,0.529559076
1677685709.4801035,1677685709.4793382,9.973312378,1.017680407,,,,,,
1677685709.4837315,1677685709.4825215,,,0,0.003490658,0,0.06864655,-9.708582878,0.529559076
1677685709.4892821,1677685709.4875197,,,0,0,0,0.06864655,-9.698776245,0.519752443
1677685709.493597,1677685709.4925172,,,-0.001745329,0.001745329,0,0.06864655,-9.698776245,0.519752443
1677685709.4993684,1677685709.4975152,,,-0.003490658,0,0,0.078453198,-9.698776245,0.519752443
1677685709.4990814,1677685709.4987097,9.978130341,1.017680407,,,,,,
1677685709.5048027,1677685709.5025127,,,-0.001745329,0,0,0.078453198,-9.698776245,0.519752443
1677685709.5086935,1677685709.5075111,,,-0.001745329,0.001745329,0,0.078453198,-9.718389511,0.50994581
1677685709.5144,1677685709.512509,,,-0.005235988,0.001745329,0,0.078453198,-9.718389511,0.50994581
1677685709.518748,1677685709.5175066,,,0,0.003490658,-0.001745329,0.058839899,-9.718389511,0.519752443
1677685709.5201342,1677685709.5187275,9.972576141,1.017680407,,,,,,
1677685709.5239217,1677685709.5225039,,,-0.001745329,0.005235988,0,0.058839899,-9.718389511,0.519752443
1677685709.528764,1677685709.527502,,,0,0,-0.001745329,0.06864655,-9.718389511,0.519752443
1677685709.5339384,1677685709.5325005,,,-0.001745329,-0.001745329,0.001745329,0.06864655,-9.718389511,0.519752443
1677685709.5400834,1677685709.5374978,,,-0.006981317,-0.005235988,0,0.078453198,-9.708582878,0.529559076
1677685709.540044,1677685709.5387511,9.978262901,1.017680407,,,,,,
1677685709.544528,1677685709.542496,,,-0.003490658,0,-0.001745329,0.078453198,-9.708582878,0.529559076
1677685709.5488517,1677685709.5474944,,,-0.001745329,0,0.001745329,0.078453198,-9.698776245,0.519752443
1677685709.5542953,1677685709.5524917,,,0,0,0,0.078453198,-9.698776245,0.519752443
1677685709.558944,1677685709.557489,,,0,0,0,0.058839899,-9.708582878,0.529559076
1677685709.5592034,1677685709.558755,9.972192764,1.017680407,,,,,,
1677685709.5635564,1677685709.5624874,,,0,-0.001745329,0,0.058839899,-9.708582878,0.529559076
1677685709.5695815,1677685709.5674846,,,-0.003490658,-0.001745329,-0.001745329,0.06864655,-9.708582878,0.519752443
1677685709.5738597,1677685709.5724828,,,0,0,0.001745329,0.06864655,-9.708582878,0.519752443
1677685709.5783987,1677685709.5774813,,,-0.001745329,0.001745329,0,0.058839899,-9.708582878,0.50994581
1677685709.5794902,1677685709.5788136,9.973465919,1.017680407,,,,,,
1677685709.583565,1677685709.5824785,,,0,0.001745329,0,0.058839899,-9.708582878,0.50994581
1677685709.588683,1677685709.5874767,,,-0.003490658,0,0,0.06864655,-9.718389511,0.50994581
1677685709.5934668,1677685709.5924742,,,-0.001745329,0,0,0.06864655,-9.718389511,0.50994581
1677685709.599408,1677685709.5974724,,,-0.003490658,0,0,0.06864655,-9.708582878,0.529559076
1677685709.5997791,1677685709.598709,9.97282505,1.017680407,,,,,,
1677685709.6040304,1677685709.6024706,,,0,0.001745329,0,0.06864655,-9.708582878,0.529559076
1677685709.610744,1677685709.6074681,,,-0.003490658,0.001745329,0,0.049033247,-9.708582878,0.519752443
1677685709.613755,1677685709.6124663,,,0,0.001745329,0,0.049033247,-9.708582878,0.519752443
1677685709.6188164,1677685709.6174636,,,-0.003490658,0,0,0.06864655,-9.728196144,0.50994581
1677685709.6195438,1677685709.618706,9.971746445,1.017680407,,,,,,
1677685709.623299,1677685709.622462,,,-0.001745329,0.003490658,0,0.06864655,-9.728196144,0.50994581
1677685709.628356,1677685709.6274593,,,0,0,0,0.06864655,-9.708582878,0.50994581
1677685709.6333263,1677685709.6324575,,,0,0.001745329,0.001745329,0.06864655,-9.708582878,0.50994581
1677685709.6386425,1677685709.6374547,,,0,0,0,0.078453198,-9.718389511,0.529559076
1677685709.6397138,1677685709.638737,9.97811985,1.017680407,,,,,,
1677685709.644154,1677685709.6424532,,,0,0,0,0.078453198,-9.718389511,0.529559076
1677685709.6487906,1677685709.6474514,,,0.001745329,0,0,0.078453198,-9.708582878,0.529559076
1677685709.6535492,1677685709.6524487,,,0,0.001745329,0,0.078453198,-9.708582878,0.529559076
