,rt_seq,time,sensor.type,U.a_z,U.w_y,velocity,tf.x,tf.y,tf.yaw_z,x,y,theta,v,rt_x,rt_y,rt_theta,rt_v,P11,P12,P13,P14,P21,P22,P23,P24,P31,P32,P33,P34,P41,P42,P43,P44,t_com
0,39.0,1677685709.4325433,imu,-0.087829698651128,0.001799369949886267,,,,,2.6689014434814453,-3.346753597259521,-0.07645875326462903,0.0,,,,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.009800052997889e-05
1,41.0,1677685709.4375403,imu,-0.087829698651128,-0.00010922256910628989,,,,,2.668900350124835,-3.346753513492963,-0.07646774474325824,-0.00043888632155155934,,,,,1.0050177330561505,-1.5872551897837558e-06,0.0,0.004992788102316216,-1.5872551897837558e-06,1.0049971366024466,0.0,-0.0003825105656997469,0.0,0.0,1.0049970149993896,0.0,0.004992788102316216,-0.0003825105656997469,0.0,1.0049970149993896,0.0002797659999487223
2,42.0,1677685709.442539,imu,-0.087829698651128,1.4380248183438962e-05,,,,,2.6688970685948994,-3.3467532620725327,-0.0764671987741572,-0.000877919224726806,,,,,1.010087021199435,-6.996623507158812e-06,0.0,0.010012151079856438,-6.996623507158812e-06,1.0099962349726717,0.0,-0.0007670784121036212,0.0,0.0,1.009995698928833,0.0,0.010012151079856438,-0.0007670784121036212,0.0,1.009995698928833,8.841499948175624e-05
3,43.0,1677685709.4475365,imu,-0.08844182525460531,0.001770609453519388,,,,,2.668891600456484,-3.3467528431222098,-0.07646727063933012,-0.001316847426742276,,,,,1.0152052207154338,-1.6244744689729856e-05,0.0,0.015055222532128168,-1.6244744689729856e-05,1.0149944353618632,0.0,-0.0011534615256319763,0.0,0.0,1.0149931907653809,0.0,0.015055222532128168,-0.0011534615256319763,0.0,1.0149931907653809,8.286299998871982e-05
4,44.0,1677685709.452535,imu,-0.08844182525460531,0.003621680979778287,,,,,2.668883935896592,-3.3467522558534726,-0.07647612093420442,-0.001758919071158799,,,,,1.0203747720323841,-2.9354622067773686e-05,0.0,0.02012416329892427,-2.9354622067773686e-05,1.019993885332416,0.0,-0.0015418494135898144,0.0,0.0,1.0199916362762451,0.0,0.02012416329892427,-0.0015418494135898144,0.0,1.0199916362762451,8.030200024222722e-05
5,46.0,1677685709.457532,imu,-0.0892349072708557,0.0017562292053359483,,,,,2.6688740712730805,-3.3467514998780126,-0.07649421852838323,-0.0022008641985294597,,,,,1.0255934520868546,-4.634004098894171e-05,0.0,0.02521654946091819,-4.634004098894171e-05,1.0249922018651147,0.0,-0.0019321027408670853,0.0,0.0,1.0249886512756348,0.0,0.02521654946091819,-0.0019321027408670853,0.0,1.0249886512756348,8.302300011564512e-05
6,0.0,1677685709.4604368,tf,,,,2.6689014434814453,-3.346753597259521,-0.07645875326462885,2.6688984202235377,-3.346753365590822,-0.07646234996221715,-0.002459224739052728,,,,,0.0911398698103063,-4.562742583494627e-07,0.0,0.0024975570912782437,-4.5627425834947117e-07,0.09113394998361779,0.0,-0.00019137070919809495,0.0,0.0,0.09113391502247324,0.0,0.002497557091278243,-0.00019137070919809452,0.0,1.0271853776977022,8.108000020001782e-05
7,40.0,1677685709.4605253,vel,,,-0.0,,,,2.668903867338488,-3.3467537829661818,-0.07646250530647336,-0.00021885701527106505,,,,,0.09122282806191978,-3.522663583393713e-08,0.0,0.0002295939751658727,-3.522663583394481e-08,0.09122237101444988,0.0,-1.7592123855248083e-05,0.0,0.0,0.09122236831531992,0.0,0.00022959397516587247,-1.7592123855248025e-05,0.0,0.09112904094366069,7.845599975553341e-05
8,1.0,1677685709.4607449,tf,,,,2.668912172317505,-3.346766948699951,-0.07644230501057418,2.6689078080632966,-3.3467600695562294,-0.07645305810553518,-0.00023843932240629845,2.6689111972419024,-3.3467657352724456,-0.07644379988778179,3.2807470290033086e-09,0.047764999009037704,-1.1789452172592437e-08,0.0,0.00013036078683822155,-1.1789452172594524e-08,0.04776484604523603,0.0,-9.988491569421832e-06,0.0,0.0,0.047764845141916486,0.0,0.00013036078683822141,-9.988491569421803e-06,0.0,0.09134829720882427,7.889199969213223e-05
9,47.0,1677685709.4625304,imu,-0.0892349072708557,1.4380248183438962e-05,,,,,2.6689072417415383,-3.346760026173676,-0.07645619388217861,-0.0003977697430318512,,,,,0.0495512225970414,-6.594101135809436e-08,0.0,0.0002943127183001876,-6.594101135809647e-08,0.04955036693266696,0.0,-2.254785625464273e-05,0.0,0.0,0.04955036188080809,0.0,0.0002943127183001875,-2.25478562546427e-05,0.0,0.09313381394771587,7.852799990359927e-05
10,45.0,1677685709.4648137,vel,,,-0.0,,,,2.6689076694933007,-3.3467600589475923,-0.07645622671709873,-0.0003078148003790973,,,,,0.05183497941702239,-9.827467267329832e-08,0.0,0.00026021930322465026,-9.827467267330041e-08,0.0518337041416133,0.0,-1.9935197491845673e-05,0.0,0.0,0.05183369661286375,0.0,0.0002602193032246502,-1.9935197491845663e-05,0.0,0.04882741833273335,7.650199950148817e-05
11,48.0,1677685709.4675276,imu,-0.0892349072708557,0.0,,,,,2.6689065088860735,-3.34675997003861,-0.07645626574392317,-0.0005499910826571941,,,,,0.05455060931712867,-2.2936578182424839e-07,0.0,0.00039540575921204695,-2.293657818242505e-07,0.054547632870032434,0.0,-3.029123327253752e-05,0.0,0.0,0.05454761529877684,0.0,0.0003954057592120469,-3.029123327253751e-05,0.0,0.05154133701864644,7.748200005153194e-05
12,49.0,1677685709.4725258,imu,-0.0892349072708557,0.0034836979143051186,,,,,2.6689026565671803,-3.3467596749294426,-0.07645626574392317,-0.0009960056290577934,,,,,0.05955385528415417,-6.153764523638508e-07,0.0,0.0006626462408069623,-6.153764523638529e-07,0.05954586953325265,0.0,-5.076334843471024e-05,0.0,0.0,0.059545822391061994,0.0,0.0006626462408069623,-5.076334843471023e-05,0.0,0.056539544110931594,7.674300013604807e-05
13,2.0,1677685709.473844,tf,,,,2.6689274311065674,-3.3467812538146973,-0.07646442809084514,2.6689111693895584,-3.346767773508206,-0.07646220877601713,-0.0011135089628126103,2.6689194797754485,-3.346773647551292,-0.07645431676336742,1.1266997992562547e-06,0.037839511067560935,-2.9178267958123365e-07,0.0,0.00045854642949239694,-2.9178267958123445e-07,0.03783572460227516,0.0,-3.512791344853607e-05,0.0,0.0,0.03783570224963618,0.0,0.00045854642949239694,-3.512791344853607e-05,0.0,0.05785435797000321,7.618100062245503e-05
14,3.0,1677685709.4757183,tf,,,,2.668930530548096,-3.3467907905578613,-0.07642379210580062,2.66891507185686,-3.3467741930429225,-0.0764559629418283,-0.0012806587324428092,2.6689233057033057,-3.3467795758658614,-0.07644376150012666,1.801035027339528e-06,0.028426032865570664,-2.2341737730364547e-07,0.0,0.0004066259564887487,-2.2341737730364595e-07,0.028423133629746872,0.0,-3.11510449571591e-05,0.0,0.0,0.028423116514071867,0.0,0.00040662595648874864,-3.11510449571591e-05,0.0,0.059726242738924656,7.7631000749534e-05
15,50.0,1677685709.477523,imu,-0.07883694360584936,0.005363529936930897,,,,,2.668912622327578,-3.3467740053881303,-0.07646225041961019,-0.001441712449111982,,,,,0.030232487643942093,-3.479930846306926e-07,0.0,0.0005154599445739114,-3.47993084630693e-07,0.030227971817102007,0.0,-3.9488648849321615e-05,0.0,0.0,0.030227945157870695,0.0,0.0005154599445739113,-3.9488648849321615e-05,0.0,0.061531071382723485,7.5906999882136e-05
16,4.0,1677685709.480635,tf,,,,2.6689438819885254,-3.346789121627808,-0.07650439644094546,2.6689167998864503,-3.3467775062145675,-0.07648530568103065,-0.0016868416356457562,2.668929148835427,-3.3467822799216247,-0.07646092932856258,3.393253737869566e-06,0.02500826413106006,-3.55136150427334e-07,0.0,0.0005327397427591414,-3.5513615042733416e-07,0.025003655786336367,0.0,-4.081410637951443e-05,0.0,0.0,0.025003628578858208,0.0,0.0005327397427591414,-4.081410637951443e-05,0.0,0.0646391038906484,7.682799969188636e-05
17,51.0,1677685709.482422,vel,,,-0.0,,,,2.6689207987139207,-3.34677781251974,-0.07649489130486886,-0.0010982266661584772,,,,,0.026794988091348563,-3.197823916568051e-07,0.0,0.00039011324490779807,-3.197823916568052e-07,0.02679083874818952,0.0,-2.988919989556226e-05,0.0,0.0,0.02679081424780352,0.0,0.00039011324490779807,-2.988919989556226e-05,0.0,0.03991333925389706,7.722200007265201e-05
18,52.0,1677685709.4825215,imu,-0.07883694360584936,0.0034836979143051186,,,,,2.6689206894584308,-3.346777804145884,-0.07649542454995162,-0.0011060646782538425,,,,,0.026894486309628853,-3.257343651172329e-07,0.0,0.00039407395308651037,-3.25734365117233e-07,0.026890259751779215,0.0,-3.019276723355027e-05,0.0,0.0,0.026890234795288872,0.0,0.00039407395308651037,-3.019276723355027e-05,0.0,0.040012759801382414,7.640100011485629e-05
19,53.0,1677685709.4875195,imu,-0.08801065406390085,0.0,,,,,2.668914195770645,-3.3467773063775823,-0.07651283596299585,-0.0015000892527266085,,,,,0.03189724168603808,-6.925802069530197e-07,0.0,0.0006038492804654482,-6.925802069530198e-07,0.03188825654000892,0.0,-4.627284819675661e-05,0.0,0.0,0.03188820346899493,0.0,0.0006038492804654482,-4.627284819675661e-05,0.0,0.04501072847508847,7.608600026287604e-05
20,5.0,1677685709.4885538,tf,,,,2.668938159942627,-3.3467800617218018,-0.07643686104533501,2.6689189336608545,-3.34677789701514,-0.0764940183653204,-0.0015909889470289247,2.6689315756403627,-3.34678169228512,-0.07645452814070545,4.3970691006218805e-06,0.02477401383730892,-4.4772300074804033e-07,0.0,0.0004895029946797928,-4.4772300074804044e-07,0.024768205509425014,0.0,-3.7511668117223906e-05,0.0,0.0,0.02476817120027922,0.0,0.0004895029946797928,-3.75116681172239e-05,0.0,0.04604178431965441,7.65309996495489e-05
21,54.0,1677685709.4925172,imu,-0.08801065406390085,0.0017562292053359483,,,,,2.668911957000435,-3.346777362299008,-0.07649401836532022,-0.0019398165744870888,,,,,0.028741967894717627,-7.913398929000737e-07,0.0,0.0006779809328702153,-7.913398929000737e-07,0.028731702302741084,0.0,-5.195728936865597e-05,0.0,0.0,0.028731641659263594,0.0,0.0006779809328702153,-5.195728936865596e-05,0.0,0.050005254778638784,7.683500007260591e-05
22,6.0,1677685709.4969454,tf,,,,2.6689343452453613,-3.3467681407928467,-0.07643910304951698,2.6689104572070246,-3.346774523656501,-0.07648618344755126,-0.0023293285932558493,2.6689323241848797,-3.346778182210722,-0.07645053009548398,4.647287018173824e-06,0.02491192369867426,-7.410114688224885e-07,0.0,0.0006809810170606744,-7.410114688224885e-07,0.024902311401034632,0.0,-5.218929554721064e-05,0.0,0.0,0.02490225461201028,0.0,0.0006809810170606743,-5.218929554721064e-05,0.0,0.05442719088726833,7.644900051673176e-05
23,55.0,1677685709.4975152,imu,-0.08819160940793358,2.8760496366878747e-05,,,,,2.6689091195421146,-3.346774421142959,-0.07648718418278655,-0.0023794788597154867,,,,,0.02548253259436606,-8.01439317442679e-07,0.0,0.0007120389608998831,-8.01439317442679e-07,0.025472136436112867,0.0,-5.456945798798922e-05,0.0,0.0,0.025472075016063016,0.0,0.000712038960899883,-5.456945798798922e-05,0.0,0.05499701129132106,7.731999994575744e-05
24,57.0,1677685709.5025127,imu,-0.08819160940793358,1.4380248183438962e-05,,,,,2.668896164813659,-3.3467734283344686,-0.0764873279131324,-0.0028202157077836516,,,,,0.030488289400405995,-1.4348452868977956e-06,0.0,0.0009964582923371863,-1.4348452868977956e-06,0.030469676815262418,0.0,-7.636643524168061e-05,0.0,0.0,0.030469566852610867,0.0,0.0009964582923371861,-7.636643524168061e-05,0.0,0.059994503127868914,7.914200068626087e-05
25,56.0,1677685709.5040936,vel,,,-0.0,,,,2.6689116131740205,-3.346774612266662,-0.07648735064763734,-0.0018317401726510192,,,,,0.032065128559577015,-1.1195224137023857e-06,0.0,0.0006758872332943235,-1.119522413702386e-06,0.03205060624753155,0.0,-5.1798493807444304e-05,0.0,0.0,0.03205052045063333,0.0,0.0006758872332943234,-5.17984938074443e-05,0.0,0.038109412143177514,7.737800024187891e-05
26,7.0,1677685709.5056298,tf,,,,2.6689250469207764,-3.346757411956787,-0.07654496713064131,2.668912814280165,-3.3467701209314527,-0.07650185324727368,-0.00196713125159662,2.6689304576548656,-3.3467728429791532,-0.0764748077101422,3.0839022320869965e-06,0.025151608384613555,-7.194077148421049e-07,0.0,0.000550313003239447,-7.194077148421049e-07,0.025142276317021685,0.0,-4.2174724036093185e-05,0.0,0.0,0.02514222118371133,0.0,0.0005503130032394469,-4.2174724036093185e-05,0.0,0.03964147317686347,7.675400047446601e-05
27,58.0,1677685709.5075111,imu,-0.09920169967641723,0.0017562292053359483,,,,,2.6689089685991823,-3.346769826154389,-0.0765018803017119,-0.0021330515067421703,,,,,0.027035151909298182,-8.866866267484599e-07,0.0,0.0006261452768838618,-8.866866267484599e-07,0.027023650145796323,0.0,-4.798737855166281e-05,0.0,0.0,0.02702358219140176,0.0,0.0006261452768838617,-4.798737855166281e-05,0.0,0.0415228341845539,7.84860003477661e-05
28,59.0,1677685709.512509,imu,-0.09920169967641723,0.001784989701702828,,,,,2.668897103470246,-3.3467689166205705,-0.0765106578802639,-0.0026288584941032995,,,,,0.032040251520098484,-1.4332630412523523e-06,0.0,0.0008434457978161922,-1.4332630412523523e-06,0.03202166071382429,0.0,-6.464475221107466e-05,0.0,0.0,0.032021550865107815,0.0,0.0008434457978161921,-6.464475221107466e-05,0.0,0.046520802858259956,8.018700009415625e-05
29,8.0,1677685709.5160913,tf,,,,2.6689133644104004,-3.3467507362365723,-0.0764825269341966,2.6688939839909276,-3.3467635767642063,-0.07650798728899694,-0.0029840359961722076,2.6689258655104457,-3.3467669670142146,-0.07647685809083585,-8.170209726384848e-07,0.026269467503983897,-1.0515023692344842e-06,0.0,0.0007483184260717059,-1.0515023692344842e-06,0.02625582905825759,0.0,-5.7356361472400804e-05,0.0,0.0,0.026255748465348425,0.0,0.0007483184260717059,-5.73563614724008e-05,0.0,0.05009540242202851,7.811500017851358e-05
30,60.0,1677685709.5175066,imu,-0.08905395185808285,0.0035929204834114084,,,,,2.6688896741235397,-3.3467632463745263,-0.076510513500466,-0.003124431468050072,,,,,0.027686915943603202,-1.2198138689450119e-06,0.0,0.0008198407914811538,-1.2198138689450119e-06,0.02767109464541359,0.0,-6.283918663258359e-05,0.0,0.0,0.0276710011508953,0.0,0.0008198407914811538,-6.283918663258357e-05,0.0,0.05151065510757538,7.772099979774794e-05
31,61.0,1677685709.522504,imu,-0.08905395185808285,0.005239927119641167,,,,,2.6688729966896996,-3.3467619677258718,-0.07652846909125133,-0.0035694778654731664,,,,,0.03269367491556099,-1.930230293490995e-06,0.0,0.0010868873652333166,-1.9302302934909956e-06,0.03266864094231692,0.0,-8.331344944220954e-05,0.0,0.0,0.03266849298744315,0.0,0.0010868873652333166,-8.331344944220953e-05,0.0,0.05650814694412323,7.66990006013657e-05
32,9.0,1677685709.5244174,tf,,,,2.6689069271087646,-3.3467471599578857,-0.07646956770418739,2.6688765413198765,-3.346757765995927,-0.07652078338582013,-0.0037395118494648063,2.6689208722415687,-3.346761836752395,-0.07647497247219492,-5.244506838740585e-06,0.02571203382434039,-1.248295086784193e-06,0.0,0.0008886383984637704,-1.2482950867841932e-06,0.025695844702638193,0.0,-6.81194605356518e-05,0.0,0.0,0.0256957490158739,0.0,0.0008886383984637704,-6.811946053565179e-05,0.0,0.058410763603214406,7.727299998805393e-05
33,62.0,1677685709.5255003,vel,,,-0.0,,,,2.6688953526005523,-3.346759207948891,-0.07652645768815436,-0.0024050787375316553,,,,,0.026791222357939147,-9.640156602709733e-07,0.0,0.0005970101360898079,-9.640156602709735e-07,0.026778720098041088,0.0,-4.576509736052605e-05,0.0,0.0,0.026778646202153197,0.0,0.0005970101360898079,-4.576509736052605e-05,0.0,0.03730158333252874,7.711800026299898e-05
34,63.0,1677685709.527502,imu,-0.0892349072708557,0.00010922256910628989,,,,,2.668890374397062,-3.346758826212611,-0.07653694677718947,-0.0025833435890542113,,,,,0.028795493720000436,-1.1563782780426429e-06,0.0,0.0006731251957337955,-1.156378278042643e-06,0.028780497236599464,0.0,-5.160171386393165e-05,0.0,0.0,0.028780408592289915,0.0,0.0006731251957337955,-5.160171386393165e-05,0.0,0.03930334572266546,7.710799945925828e-05
35,10.0,1677685709.5312524,tf,,,,2.6689023971557617,-3.346745729446411,-0.07645103308951451,2.668885566978533,-3.346755016530246,-0.07651616764802305,-0.002917870299597722,2.668916206623784,-3.346757858972765,-0.07646907339414706,-9.483766617881552e-06,0.024557524104249252,-8.985443508496521e-07,0.0,0.000623106902612603,-8.985443508496523e-07,0.02454587206780331,0.0,-4.777043486842783e-05,0.0,0.0,0.02454580318396676,0.0,0.0006231069026126032,-4.777043486842783e-05,0.0,0.043048493251809705,7.70819997342187e-05
36,64.0,1677685709.5325005,imu,-0.0892349072708557,-0.0018366912780753604,,,,,2.668881866476424,-3.346754732827869,-0.07651630397103393,-0.003029246284639085,,,,,0.02580725228176232,-1.0217392495096297e-06,0.0,0.0006773266192990754,-1.02173924950963e-06,0.025794002774189792,0.0,-5.1927239000897624e-05,0.0,0.0,0.02579392444556344,0.0,0.0006773266192990755,-5.1927239000897624e-05,0.0,0.044296614513406385,7.670800005143974e-05
37,65.0,1677685709.5374978,imu,-0.07901789894988209,-0.005168025878723971,,,,,2.6688656619008273,-3.346753490564675,-0.07650712555926686,-0.0034751757300004933,,,,,0.030812202903126567,-1.6118300090465295e-06,0.0,0.0009084151990426648,-1.6118300090465297e-06,0.030791301430290685,0.0,-6.964279564603598e-05,0.0,0.0,0.03079117786353219,0.0,0.0009084151990426649,-6.964279564603598e-05,0.0,0.049293867931375135,8.362200060219038e-05
38,11.0,1677685709.539223,tf,,,,2.6689136028289795,-3.346764087677002,-0.07647023230633773,2.6688728335655463,-3.346755738865178,-0.07649134470930342,-0.003611085366815986,2.6689154997810456,-3.3467593856530313,-0.07646935839631791,-9.94246560253886e-06,0.024551447658260207,-1.0594608730570854e-06,0.0,0.0007502932357287757,-1.0594608730570854e-06,0.024537708947364952,0.0,-5.751975817540185e-05,0.0,0.0,0.02453762772718092,0.0,0.0007502932357287757,-5.751975817540186e-05,0.0,0.05101155966787797,8.28970005386509e-05
39,66.0,1677685709.542496,imu,-0.07901789894988209,0.00013798306547316863,,,,,2.668860626991811,-3.346754803447709,-0.07647442970761009,-0.003869711760321078,,,,,0.0278298164332738,-1.4701725053673425e-06,0.0,0.0009212170338356488,-1.4701725053673425e-06,0.027810750680859662,0.0,-7.061804621038359e-05,0.0,0.0,0.02781063798108717,0.0,0.0009212170338356488,-7.06180462103836e-05,0.0,0.05428456992178422,0.0026074140005221125
40,67.0,1677685709.5461392,vel,,,-0.0,,,,2.6688756353008785,-3.3467559542518113,-0.07647493241776715,-0.002632591904027117,,,,,0.031472393916369246,-1.4166723194382004e-06,0.0,0.0007116712137260263,-1.4166723194382006e-06,0.03145402088052822,0.0,-5.455055699399491e-05,0.0,0.0,0.031453912288338146,0.0,0.0007116712137260264,-5.455055699399492e-05,0.0,0.03667994362351026,0.002574332000222057
